"";"DataWNazwie";"GazeControlType";"LiczbaSakadLeweOko";"LiczbaKasowa≈.Znak√≥w"
"1";1;"DwellTime";97;0
"2";1;"DwellTime";116;0
"3";1;"DwellTime";152;0
"4";1;"DwellTime";114;0
"5";1;"DwellTime";111;0
"6";1;"DwellTime";118;0
"7";1;"DwellTime";113;0
"8";1;"DwellTime";81;0
"9";1;"DwellTime";83;0
"10";1;"DwellTime";85;0
"11";1;"DwellTime";85;0
"12";1;"DwellTime";106;0
"13";1;"DwellTime";97;0
"14";1;"DwellTime";90;0
"15";1;"EnterAndLeavePositions";217;0
"16";1;"EnterAndLeavePositions";649;3
"17";1;"EnterAndLeavePositions";311;0
"18";1;"EnterAndLeavePositions";456;0
"19";1;"EnterAndLeavePositions";292;0
"20";1;"EnterAndLeavePositions";333;0
"21";1;"EnterAndLeavePositions";209;0
"22";1;"EnterAndLeavePositions";112;0
"23";1;"EnterAndLeavePositions";240;0
"24";1;"EnterAndLeavePositions";406;0
"25";1;"EnterAndLeavePositions";119;0
"26";1;"EnterAndLeavePositions";452;0
"27";1;"EnterAndLeavePositions";446;5
"28";1;"EnterAndLeavePositions";97;0
"29";1;"DwellTime";117;0
"30";1;"DwellTime";120;1
"31";1;"DwellTime";127;1
"32";1;"DwellTime";98;0
"33";1;"DwellTime";88;0
"34";1;"DwellTime";190;1
"35";1;"DwellTime";104;0
"36";1;"DwellTime";58;0
"37";1;"DwellTime";63;0
"38";1;"DwellTime";90;0
"39";1;"DwellTime";59;0
"40";1;"DwellTime";74;1
"41";1;"DwellTime";65;0
"42";1;"DwellTime";60;0
"43";1;"Fixation";83;0
"44";1;"Fixation";85;1
"45";1;"Fixation";77;0
"46";1;"Fixation";99;1
"47";1;"Fixation";57;0
"48";1;"Fixation";285;8
"49";1;"Fixation";100;1
"50";1;"Fixation";140;3
"51";1;"Fixation";93;0
"52";1;"Fixation";105;2
"53";1;"Fixation";132;0
"54";1;"Fixation";92;0
"55";1;"Fixation";104;1
"56";1;"Fixation";172;3
"57";1;"Fixation";94;0
"58";1;"Fixation";112;2
"59";1;"Fixation";74;1
"60";1;"Fixation";69;1
"61";1;"Fixation";132;0
"62";1;"Fixation";79;1
"63";1;"Fixation";49;1
"64";1;"Fixation";77;2
"65";1;"Fixation";95;2
"66";1;"Fixation";102;2
"67";1;"Fixation";169;2
"68";1;"Fixation";135;1
"69";1;"Fixation";125;2
"70";1;"Fixation";80;2
"71";1;"EnterAndLeavePositions";166;2
"72";1;"EnterAndLeavePositions";314;5
"73";1;"EnterAndLeavePositions";187;1
"74";1;"EnterAndLeavePositions";329;3
"75";1;"EnterAndLeavePositions";186;0
"76";1;"EnterAndLeavePositions";119;0
"77";1;"EnterAndLeavePositions";396;6
"78";1;"EnterAndLeavePositions";143;2
"79";1;"EnterAndLeavePositions";723;13
"80";1;"EnterAndLeavePositions";117;0
"81";1;"EnterAndLeavePositions";230;1
"82";1;"EnterAndLeavePositions";129;0
"83";1;"EnterAndLeavePositions";355;2
"84";1;"EnterAndLeavePositions";82;0
